"outcome","resp_type","predictor","N","n_subjects","beta_interaction","se_interaction","t_interaction","p_interaction","R2_marginal","R2_conditional","covariates"
"fss_sum","mip","mip_c",44,22,7.90794956637813e-15,3.35319487044779e-08,2.35833283537205e-07,0.999999844336388,NA,NA,"data_age, subject_female"
"fss_sum","smip","smip_c",44,22,-2.74699564553169e-15,3.8135042413336e-09,-7.20333706662158e-07,0.999999545269696,NA,NA,"data_age, subject_female"
"fss_sum","fit","fit_c",44,22,-4.00429287799937e-14,3.14413110058878e-08,-1.27357694380158e-06,0.999999171945514,NA,NA,"data_age, subject_female"
"fss_sum","id","id_c",32,16,-9.6620383667762e-15,8.35057356024747e-08,-1.15705086567609e-07,0.999999937720931,NA,NA,"data_age, subject_female"
"fss_sum","slopesmip","slopesmip_c",32,16,7.76216195333818e-15,5.24914067578297e-08,1.47874908156855e-07,0.999999906328746,NA,NA,"data_age, subject_female"
"fss_sum","sindex","sindex_c",44,22,2.63361582173239e-11,2.10747235494434e-06,1.24965616538393e-05,0.999990094561027,NA,NA,"data_age, subject_female"
"fss_sum","pif","pif_c",44,22,1.08422900804769e-13,8.65977295877335e-07,1.25202936983381e-07,0.999999912239204,NA,NA,"data_age, subject_female"
"fss_sum","volume","volume_c",44,22,2.9089747309826e-13,6.31172525486531e-07,4.60884245355935e-07,0.999999708414297,NA,NA,"data_age, subject_female"
"woods_sum","mip","mip_c",44,22,2.97813698264468e-15,1.82293710365256e-08,1.63370254337217e-07,0.999999911496571,NA,NA,"data_age, subject_female"
"woods_sum","smip","smip_c",44,22,1.62221965097091e-15,3.13881765010596e-09,5.16825069757126e-07,0.99999969296866,NA,NA,"data_age, subject_female"
"woods_sum","fit","fit_c",44,22,-3.71280901967739e-15,1.94055364781361e-08,-1.91327306197412e-07,0.999999893595083,NA,NA,"data_age, subject_female"
"woods_sum","id","id_c",32,16,7.78734880233509e-15,5.83642449654163e-08,1.33426703402905e-07,0.999999939601603,NA,NA,"data_age, subject_female"
"woods_sum","slopesmip","slopesmip_c",32,16,5.94661964258333e-14,3.51242809803288e-08,1.6930224552963e-06,0.999999056267443,NA,NA,"data_age, subject_female"
"woods_sum","sindex","sindex_c",44,22,5.31389186677761e-16,1.38726881563035e-08,3.83047020657137e-08,0.999999982908067,NA,NA,"data_age, subject_female"
"woods_sum","pif","pif_c",44,22,3.80456846879222e-15,3.3368831540445e-07,1.14015633546558e-08,0.999999993848591,NA,NA,"data_age, subject_female"
"woods_sum","volume","volume_c",44,22,1.83354306264281e-10,4.43654105058668e-05,4.13282113641288e-06,0.999996809210209,NA,NA,"data_age, subject_female"
"dsq_sum","mip","mip_c",44,22,3.16063356865589e-11,3.26764838693268e-06,9.67250203937258e-06,0.999992531409337,NA,NA,"data_age, subject_female"
"dsq_sum","smip","smip_c",44,22,-5.34315631387589e-16,3.63973328906707e-09,-1.46800765043019e-07,0.999999908559183,NA,NA,"data_age, subject_female"
"dsq_sum","fit","fit_c",44,22,-1.5133472331263e-11,3.026012534017e-06,-5.00112678356078e-06,0.999996137981761,NA,NA,"data_age, subject_female"
"dsq_sum","id","id_c",32,16,1.07559086806163e-14,6.68786756914554e-08,1.60827178011698e-07,0.999999921829924,NA,NA,"data_age, subject_female"
"dsq_sum","slopesmip","slopesmip_c",32,16,2.47475676694506e-14,2.99387075987732e-08,8.26607748106825e-07,0.999999568931882,NA,NA,"data_age, subject_female"
"dsq_sum","sindex","sindex_c",44,22,4.86673229698062e-15,2.95688231669156e-08,1.64589989581526e-07,0.999999897927562,NA,NA,"data_age, subject_female"
"dsq_sum","pif","pif_c",44,22,8.54490308694679e-14,4.99996875484417e-07,1.70899129692924e-07,0.999999893244599,NA,NA,"data_age, subject_female"
"dsq_sum","volume","volume_c",44,22,7.72960262107225e-14,5.08936504831707e-07,1.51877543616728e-07,0.999999910170041,NA,NA,"data_age, subject_female"
