"outcome","predictor","model_ri_aic","model_rs_aic","model_ris_aic","model_ri_bic","model_rs_bic","model_ris_bic","best_model"
"fss_sum","mip",572.365861625452,577.25616936894,564.930547846137,591.422074702843,596.312382446331,588.750814192876,"random_intercept_slope"
"fss_sum","smip",586.581898164463,604.669527026021,588.977481277095,605.638111241854,623.725740103412,612.797747623834,"random_intercept"
"fss_sum","fit",579.740469624749,615.958051479192,583.706244318005,598.79668270214,635.014264556583,607.526510664744,"random_intercept"
"fss_sum","id",398.528154432936,408.972295921778,398.685013829123,415.011698517307,425.45584000615,419.289443934587,"random_intercept"
"fss_sum","slopesmip",405.735961260319,431.779756263043,402.501148101268,422.21950534469,448.263300347414,423.105578206732,"random_intercept"
"fss_sum","sindex",560.340421972684,572.25103402372,557.050582629813,579.1940925862,591.104704637237,580.617670896709,"random_intercept"
"fss_sum","pif",548.026900893003,560.627055524484,545.829837911391,566.88057150652,579.480726138,569.396926178286,"random_intercept"
"fss_sum","volume",556.697054023731,569.370816077397,551.929800806317,575.550724637247,588.224486690914,575.496889073213,"random_intercept_slope"
"woods_sum","mip",508.347253862561,518.295037206223,482.983757729549,527.403466939952,537.351250283614,506.804024076288,"random_intercept_slope"
"woods_sum","smip",519.117414630242,554.833333897574,520.857995175629,538.173627707633,573.889546974965,544.678261522368,"random_intercept"
"woods_sum","fit",512.971546666468,558.530890522472,513.464317914315,532.027759743859,577.587103599863,537.284584261054,"random_intercept"
"woods_sum","id",345.286512060892,375.516937548171,326.582934077223,361.770056145263,392.000481632542,347.187364182687,"random_intercept_slope"
"woods_sum","slopesmip",350.919057475175,377.985191068737,316.522705900489,367.402601559546,394.468735153108,337.127136005953,"random_intercept_slope"
"woods_sum","sindex",504.421874036621,517.051550487797,472.265792324545,523.275544650138,535.905221101314,495.832880591441,"random_intercept_slope"
"woods_sum","pif",492.178518259807,505.974161717731,461.460932005479,511.032188873324,524.827832331247,485.028020272374,"random_intercept_slope"
"woods_sum","volume",500.017442721989,507.34895308664,489.493201737233,518.871113335506,526.202623700157,513.060290004129,"random_intercept_slope"
"dsq_sum","mip",526.467852080611,548.402367307394,509.139299704753,545.524065158002,567.458580384785,532.959566051492,"random_intercept_slope"
"dsq_sum","smip",542.974009992057,559.605818293796,528.868061629007,562.030223069448,578.662031371187,552.688327975746,"random_intercept_slope"
"dsq_sum","fit",547.550274860796,579.463151348424,550.460623876792,566.606487938187,598.519364425815,574.280890223531,"random_intercept"
"dsq_sum","id",394.778634063787,403.812484585838,390.817981773326,411.262178148159,420.296028670209,411.42241187879,"random_intercept"
"dsq_sum","slopesmip",401.195068609327,405.408215670786,400.530114551347,417.678612693698,421.891759755157,421.134544656811,"random_intercept"
"dsq_sum","sindex",528.890407726972,535.149978739685,495.195441621882,547.744078340489,554.003649353202,518.762529888778,"random_intercept_slope"
"dsq_sum","pif",517.243675263594,523.632399458421,484.202243141408,536.097345877111,542.486070071937,507.769331408304,"random_intercept_slope"
"dsq_sum","volume",530.3428118531,536.040821454959,531.511514234093,549.196482466617,554.894492068476,555.078602500989,"random_intercept"
