"pre_var","post_var","n_pairs","pre_mean","post_mean","mean_diff","direction","t_statistic","t_p_value","t_sig","w_statistic","w_p_value","w_sig","consistent_significance"
"mip_pre_max","mip_post_max",22,47.68,46.14,-1.55,"Decrease",0.467,0.6453,"",150,0.455,"","No"
"mip_pre_max_percentpredict_1","mip_post_max_percentpredict_1",22,55.21,53.26,-1.95,"Decrease",0.544,0.5921,"",148,0.4954,"","No"
"mip_pre_max_percentpredict_2","mip_post_max_percentpredict_2",22,44.88,43.49,-1.4,"Decrease",0.47,0.6431,"",149,0.4751,"","No"
"mip_pre_max_percentpredict_3","mip_post_max_percentpredict_3",22,55.12,53.37,-1.75,"Decrease",0.485,0.633,"",151,0.4359,"","No"
"smip_pre_max","smip_post_max",22,246,195.36,-50.64,"Decrease",2.925,0.0081,"**",188,0.0123,"*","Yes"
"fit_pre_max","fit_post_max",22,15.2,10.82,-4.38,"Decrease",2.533,0.0193,"*",149.5,0.0298,"*","Yes"
"pif_pre_max","pif_post_max",22,2.9,3.08,0.19,"Increase",-1.49,0.151,"",68.5,0.1784,"","No"
"sindex_pre_max","sindex_post_max",22,50.55,53.64,3.09,"Increase",-1.438,0.1653,"",76.5,0.1805,"","No"
"volume_pre_max","volume_post_max",22,2.49,2.42,-0.07,"Decrease",0.834,0.4137,"",93.5,0.4342,"","No"
"id_pre_max","id_post_max",16,6.94,6.31,-0.63,"Decrease",1.17,0.2601,"",77.5,0.3342,"","No"
"slopesmip_pre_max","slopesmip_post_max",16,14.82,17.56,2.73,"Increase",-1.235,0.2357,"",52,0.4229,"","No"
